mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
-68.2582,52.7459,124.0177,0.66,0.12,0.03,1.13,0.34,0.12
0.0198,0.0198,0.0381,0.44,1.19,0.13,0.08,0.19,0.13
-66.1555,52.7459,121.7288,0.13,0.01,1.51,0.45,0.09,0.1
0.0198,0.0198,0.0381,0.25,1.26,0.13,0.08,0.26,0.12
-66.1555,53.1426,121.3474,0.13,0.03,1.4,0.52,0.18,0.09
-66.8696,52.0714,124.0177,1.09,0.12,0.06,0.58,0.47,0.1
-66.8696,53.1426,122.1103,0.01,1.28,0.26,0.1,0.28,0.1
-64.0925,53.4997,120.5844,0.13,0.04,1.06,0.84,0.23,0.09
-66.5126,51.754,120.9659,0.03,1.22,0.47,0.09,0.32,0.09
-64.4099,53.1823,120.6607,0.13,0.04,0.85,1,0.28,0.09
-67.6234,50.7225,121.7288,1.22,0.09,0.08,0.05,0.61,0.09
-64.8859,55.7214,112.5734,0.08,0.25,1.05,0.09,1.04,0.19
0.0198,0.0198,0.0381,0.28,0.66,0.08,0.06,1.27,0.21
0.0198,0.0198,0.0381,0.1,0.05,1.05,0.21,1.07,0.21
-70.5592,56.1181,114.1756,0.13,0.74,0.09,0.09,1.23,0.22
-67.7424,56.1181,112.8023,0.13,0.04,0.98,0.3,1.11,0.21
-70.2419,55.0469,115.0149,0.06,0.79,0.26,0.12,1.18,0.19
-67.7424,52.2698,114.4045,0.62,0.09,0.06,0.19,1.45,0.18
0.0198,0.0198,0.0381,0.05,0.67,0.36,0.09,1.28,0.16
-67.7424,49.4133,112.8023,0.1,0.05,0.49,0.53,1.38,0.14
-66.7109,52.5872,112.8786,0.06,0.54,0.54,0.09,1.32,0.13
0.0198,0.0198,0.0381,0.1,0.06,0.32,0.62,1.38,0.13
-67.068,56.4752,113.4127,0.06,0.43,0.69,0.08,1.29,0.12
0.0198,0.0198,0.0381,0.09,0.05,0.19,0.61,1.45,0.12
-70.9957,55.1263,114.8623,0.28,0.4,0.05,0.04,1.53,0.12
-68.1392,56.1578,112.8023,0.06,0.21,0.78,0.06,1.33,0.1
-65.6001,55.6817,117.5326,0.09,0.62,1.14,0.14,0.54,0.14
-69.4087,51.0796,120.6607,0.74,0.65,0.13,0.06,0.83,0.14
-65.9571,56.0388,118.0667,0.12,0.32,1.33,0.12,0.57,0.12
-68.7343,53.579,119.5163,0.6,0.76,0.12,0.06,0.88,0.13
0.0198,0.0198,0.0381,0.1,0.17,1.31,0.1,0.7,0.12
-67.3854,53.2616,118.6007,0.45,0.09,0.04,0.82,1.04,0.12
-68.0598,52.8649,118.3719,0.27,0.91,0.1,0.08,0.93,0.12
0.0198,0.0198,0.0381,0.1,0.03,1.19,0.34,0.82,0.1
-67.7028,52.1904,118.0667,0.69,0.09,0.05,0.57,1.07,0.1
-67.3854,52.8649,118.5245,0.03,0.94,0.09,0.08,0.96,0.1
-65.6001,55.3643,115.2438,0.1,0.03,1.1,0.43,0.84,0.09
-67.0283,52.1904,117.9904,0.75,0.08,0.05,0.41,1.11,0.1
-67.7424,55.0469,116.6934,0.04,0.93,0.35,0.08,0.96,0.1
-67.7424,52.1904,117.0748,0.78,0.06,0.06,0.03,1.23,0.1
-66.7109,54.6899,115.3964,0.04,0.75,0.49,0.08,1.01,0.1
-68.4169,55.0469,116.846,0.74,0.16,0.05,0.03,1.28,0.1
-68.1392,55.404,115.7015,0.08,0.05,0.31,0.78,1.19,0.09
-68.1392,52.5872,116.083,0.67,0.39,0.06,0.04,1.26,0.1
-67.068,55.7214,113.7179,0.05,0.44,0.93,0.06,1.02,0.1
-67.068,51.873,116.7697,0.08,0.05,0.03,0.78,1.26,0.1
0.0198,0.0198,0.0381,0.09,0.04,0.08,0.74,1.37,0.1
-67.8614,54.1344,115.0912,0.17,0.03,0.09,0.67,1.42,0.12
-67.187,53.0632,114.7097,0.26,0.65,0.01,0.08,1.32,0.1
-67.187,55.1659,112.726,0.06,0.09,1.02,0.16,1.14,0.12
-69.012,49.5323,115.8541,0.16,0.83,0.03,0.08,1.18,0.12
0.0198,0.0198,0.0381,0.16,0.92,0.22,0.08,1.09,0.13
-64.7272,52.7062,112.4971,0.09,0.05,0.34,0.84,1.26,0.26
-67.187,54.8486,114.0993,0.08,0.04,0.08,0.84,1.31,0.18
-67.2663,54.4915,113.7942,0.18,0.04,0.09,0.79,1.32,0.14
-68.2979,53.4203,115.1675,0.44,0.75,0.03,0.09,1.14,0.13
-67.2663,54.4915,112.1157,0.06,0.1,1.18,0.13,0.97,0.14
-67.2663,50.9606,114.2519,0.56,0.03,0.12,0.76,1.23,0.14
-69.012,51.635,115.7015,0.31,0.89,0.03,0.09,1.05,0.13
-65.0843,53.817,112.9549,0.05,0.13,1.15,0.31,0.96,0.16
-65.1637,49.1752,114.023,0.7,0.03,0.1,0.6,1.18,0.14
0.0198,0.0198,0.0381,0.17,0.97,0.16,0.06,1.04,0.14
-65.8381,51.9921,113.1075,0.04,0.12,1.01,0.56,0.94,0.16
-65.1637,52.3888,115.1675,0.83,0.01,0.08,0.36,1.16,0.16
-65.8381,50.9606,115.9304,0.16,1.02,0.31,0.06,0.94,0.14
0.0198,0.0198,0.0381,0.05,0.12,0.93,0.71,0.84,0.17
0.0198,0.0198,0.0381,0.94,0.01,0.08,0.14,1.09,0.16
-68.6946,54.8486,114.6334,0.17,0.98,0.67,0.05,0.74,0.16
-65.5207,53.817,115.7015,0.04,0.1,0.61,1,0.83,0.18
-66.5919,50.9606,116.4645,1,0.3,0.06,0.16,0.97,0.16
-66.5919,55.9197,114.0993,0.14,0.74,1.04,0.04,0.63,0.17
-67.2663,50.9606,116.9223,0.03,0.09,0.4,1.09,0.87,0.18
-67.2663,52.3888,117.3037,0.96,0.45,0.06,0.14,0.89,0.17
-67.2663,52.0714,114.5571,0.14,0.61,1.19,0.04,0.62,0.18
-67.2663,53.4997,116.6934,0.12,0.09,0.13,1.16,0.84,0.18
-64.7669,49.2149,117.7615,0.79,0.72,0.05,0.13,0.76,0.18
-66.5919,53.1426,115.0149,0.13,0.31,1.45,0.03,0.5,0.19
-64.0925,55.9594,115.5489,0.1,0.12,1.51,0.1,0.39,0.21
-64.8463,51.397,118.7533,0.31,1.16,0.03,0.06,0.62,0.18
-65.2033,54.9279,116.0067,0.06,0.08,1.44,0.41,0.35,0.18
-65.2033,51.7144,119.9741,0.09,1.28,0.17,0.05,0.47,0.14
-67.2663,53.817,116.4645,0.23,0.85,0.01,0.08,1.09,0.12
-68.3772,50.2861,117.8378,0.74,0.72,0.03,0.1,0.75,0.1
-67.6234,52.0714,118.677,0.65,0.89,0.03,0.1,0.65,0.12
-65.8778,48.5405,118.4482,0.36,1.14,0.01,0.09,0.58,0.14
-64.4495,49.6117,118.9822,0.09,1.24,0.01,0.06,0.52,0.14
-65.8778,54.5708,119.6689,0.04,0.06,0.82,1.07,0.27,0.1
-67.0283,52.8252,120.737,0.09,1.01,0.88,0.03,0.1,0.09
-65.2033,55.285,122.2629,0.03,0.05,0.44,1.31,0.31,0.1
-65.2033,49.2943,122.2629,1.26,0.41,0.04,0.1,0.4,0.09
-67.3854,52.4285,120.5844,0.09,0.69,1.28,0.01,0.05,0.09
-64.5289,50.7225,123.0259,0.08,0.04,0.1,1.41,0.3,0.09
-65.6001,52.8252,120.0504,0.06,0.5,1.45,0.01,0.03,0.09
-65.6001,48.6198,122.8733,0.28,0.03,0.1,1.38,0.23,0.09
-64.5289,49.2943,123.9414,0.85,0.93,0.01,0.06,0.18,0.08
-64.1718,49.9687,120.1266,0.05,0.16,1.62,0,0,0.09
-63.4577,48.8975,124.3229,0.67,0.03,0.08,1.18,0.18,0.08
-63.8544,47.5486,124.7807,0.49,1.22,0,0.05,0.14,0.08
-64.5289,50.3258,121.6526,0.04,0.09,1.6,0.19,0,0.1
-64.2115,47.5486,125.3147,0.32,1.31,0,0.04,0.08,0.06
-65.7588,55.2453,117.9904,0.08,0.01,1.13,0.7,0.39,0.06
-66.8299,52.3888,120.6607,1.06,0.08,0.04,0.31,0.72,0.06
-68.9326,53.4997,121.1185,1.04,0.08,0.04,0.01,0.87,0.08
-67.5837,54.8486,118.9059,0.03,0.97,0.74,0.06,0.53,0.09
-68.2582,54.8486,120.6607,0.94,0.32,0.05,0.01,0.91,0.09
-67.187,54.8486,117.6852,0.04,0.82,0.88,0.08,0.61,0.09
-68.6946,51.0796,116.846,0.25,0.06,0.39,0.8,1.26,0.28
-66.5919,51.754,116.3119,0.08,0.52,0.88,0.22,1.14,0.3
-66.1952,50.7225,118.0667,0.28,0.12,0.01,0.84,1.26,0.27
-64.4495,55.285,115.4726,0.12,0.32,0.98,0.23,1.14,0.27
-65.5207,49.3339,117.8378,0.31,0.14,0.03,0.79,1.31,0.25
-63.7751,54.2535,116.0067,0.14,0.12,1.02,0.22,1.16,0.26
-67.7028,54.2931,116.4645,0.16,0.03,0.94,0.28,1.24,0.26
0.0198,0.0198,0.0381,0.18,0.03,0.79,0.44,1.33,0.27
-65.9571,51.8334,115.8541,0.21,0.04,0.49,0.62,1.44,0.3
-65.6001,51.754,123.1785,0.03,0.06,1.13,0.84,0.05,0.09
-65.2827,51.754,126.688,1.35,0,0.04,0.28,0.39,0.08
-64.8859,52.5078,124.3229,0.01,0.04,0.71,1.19,0.09,0.08
-65.2827,48.6198,125.391,1.44,0.13,0.03,0.09,0.23,0.06
-63.8544,52.5078,127.2984,0,0.03,0.5,1.33,0.01,0.09
-65.6001,48.8975,126.3066,1.4,0.35,0.01,0.08,0.1,0.06
-63.8544,48.2231,126.7643,0,0.01,0.1,1.46,0,0.1
-63.18,46.4775,127.1458,1.16,0.66,0,0.05,0.09,0.05
-63.4577,49.6513,127.6036,0.35,0,0.08,1.37,0,0.1
-63.4577,48.6198,128.2902,0.82,1,0,0.04,0.09,0.04
-63.537,49.6513,128.8243,0.54,0,0.05,1.26,0,0.12
-63.537,52.1508,124.3229,0.01,0.06,1.53,0.23,0,0.23
-59.9268,48.9769,128.2902,0.91,0,0.04,0.96,0,0.12
-63.8544,47.5486,129.5872,0.31,1.32,0,0.01,0,0.09
-62.4659,52.8649,125.7725,0,0.05,1.32,0.44,0,0.32
-62.4659,49.6513,129.8161,1.05,0,0.01,0.82,0,0.1
-62.7832,51.8334,125.6199,0,0.03,1.19,0.58,0,0.34
-63.537,51.4366,126.7643,0,0,0.88,0.91,0,0.3
-61.117,50.0877,135.9197,0,0,0,0,0,0
-62.1881,50.8415,136.8353,0,0,0,0,0,0
-61.4343,50.4448,136.9116,0,0,0,0,0,0
-61.7914,48.6595,136.4538,0,0,0,0,0,0
-61.4343,48.6595,136.6827,0,0,0,0,0,0
-61.0773,49.7307,135.8434,0,0,0,0,0,0
-62.8626,49.7307,135.996,0,0,0,0,0,0
-60.6806,47.2313,136.5301,0,0,0,0,0,0
-64.2908,48.9769,135.7671,0,0,0,0,0,0
-59.649,52.1904,135.996,0,0,0,0,0,0
-63.537,48.6198,135.5383,0,0,0,0,0,0
-68.6152,53.1426,117.9904,0.04,0.67,0.91,0.06,0.76,0.1
-67.9408,51.754,120.6607,0.08,0.05,0.01,0.98,0.98,0.12
-66.1952,51.397,118.143,0.06,0.32,1.15,0.06,0.83,0.12
-67.5837,52.8252,119.2874,0.44,0.74,0.06,0.05,1.05,0.13
-63.3387,54.2535,117.38,0.09,0.1,1.2,0.06,0.85,0.13
-66.5126,51.0002,118.0667,0.41,0.08,0.03,0.79,1.07,0.14
-66.8696,54.5708,119.0585,0.14,0.78,0.06,0.06,1.14,0.14
-64.0925,54.9279,115.8541,0.1,0.03,1.14,0.35,0.87,0.12
0.0198,0.0198,0.0381,0.56,0.08,0.04,0.52,1.28,0.13
-67.6234,56.7132,118.9822,0.03,0.88,0.25,0.08,1.1,0.12
-68.0201,58.1018,116.6934,0.1,0.03,1.05,0.4,0.93,0.1
-71.8288,55.285,118.7533,0.04,0.91,0.4,0.08,0.98,0.1
-67.6234,54.6105,117.1511,0.09,0.04,0.67,0.6,1.14,0.1
-70.7973,52.1508,118.5245,0.76,0.16,0.06,0.03,1.28,0.12
-71.8288,53.1823,116.6934,0.04,0.69,0.66,0.08,1.05,0.12
0.0198,0.0198,0.0381,0.08,0.04,0.39,0.69,1.28,0.12
-65.5207,52.5078,116.7697,0.04,0.5,0.72,0.08,1.2,0.13
-64.4495,52.8649,117.5326,0.56,0.44,0.06,0.03,1.37,0.14
-65.2033,53.579,115.0149,0.06,0.22,0.93,0.08,1.19,0.17
-67.306,55.285,116.9986,0.34,0.58,0.06,0.04,1.41,0.19
-70.4799,54.2931,113.0312,0.13,0.04,0.7,0.39,1.4,0.31
-67.7028,52.5078,113.489,0.17,0.06,0.41,0.62,1.46,0.31
-64.7669,51.7144,115.5489,0.04,0.06,0.72,1.01,0.61,0.17
-63.061,51.7144,117.38,0.03,0.06,0.48,1.23,0.47,0.13
-63.3387,50.9606,118.143,1.15,0.35,0.04,0.08,0.67,0.12
-62.3072,51.3176,119.7452,0.89,0.63,0.03,0.08,0.67,0.09
-65.8778,56.6735,120.5844,0.32,0.04,0.09,1.24,0.52,0.08
-65.8778,52.4285,122.797,0.54,0.03,0.09,1.11,0.5,0.08
-69.4087,52.0714,121.8051,0.47,1.19,0,0.06,0.25,0.06
-67.7028,50.6432,122.2629,0.97,0.01,0.09,0.75,0.48,0.06
-66.5919,50.6432,122.6444,0.1,1.33,0.05,0.06,0.18,0.05
-65.8778,51.7144,119.2111,0.04,0.09,1.37,0.54,0.18,0.06
-65.5207,49.9687,122.034,1.19,0,0.08,0.53,0.38,0.06
-65.9571,51.397,125.5436,1.14,0.63,0.01,0.09,0.23,0.05
-66.6316,50.3258,125.6199,0.82,0.98,0,0.06,0.08,0.05
-66.949,55.6817,118.2193,0.19,0.08,0.01,0.4,1.62,0.14
0.0198,0.0198,0.0381,0.09,0.03,0.71,0.28,1.4,0.17
-69.131,55.7214,116.6934,0.34,0.08,0.03,0.16,1.64,0.17
-68.7343,53.9361,115.3964,0.09,0.03,0.53,0.36,1.51,0.19
-71.9081,51.4366,116.4645,0.47,0.16,0.04,0.08,1.6,0.21
-69.4881,50.0877,114.2519,0.09,0.04,0.25,0.49,1.62,0.23
0.0198,0.0198,0.0381,0.4,0.27,0.05,0.06,1.6,0.25
-65.9571,51.1589,115.0149,0.12,0.05,0.17,0.57,1.6,0.28
-64.8859,53.6187,114.0993,0.22,0.06,0.05,0.54,1.6,0.32
-67.7424,53.2616,114.2519,0.3,0.08,0.04,0.28,1.7,0.36
-63.7751,54.9676,116.846,0.09,0.21,0.82,0.12,1.32,0.26
-67.7028,58.1415,116.3119,0.12,0.19,0.85,0.14,1.28,0.26
-69.0517,57.1099,118.0667,0.21,0.09,0.01,0.45,1.6,0.25
-71.9081,57.1099,117.0748,0.08,0.63,0.12,0.08,1.42,0.27
-69.8054,55.6817,116.7697,0.14,0.03,0.75,0.21,1.38,0.23
-71.5511,52.8649,117.1511,0.35,0.1,0.04,0.21,1.63,0.25
0.0198,0.0198,0.0381,0.05,0.65,0.28,0.1,1.41,0.25
-68.3772,51.4366,116.6171,0.13,0.03,0.53,0.3,1.54,0.23
-69.131,50.7622,117.9904,0.45,0.1,0.05,0.12,1.62,0.23
-66.2745,51.1589,115.7015,0.04,0.52,0.35,0.09,1.54,0.23
-65.9571,48.3024,117.0748,0.13,0.04,0.34,0.48,1.59,0.22
-64.8463,50.0877,117.0748,0.43,0.18,0.06,0.04,1.63,0.22
-65.9571,52.8649,115.4726,0.04,0.3,0.53,0.09,1.57,0.22
-63.4577,53.579,117.1511,0.16,0.05,0.21,0.6,1.53,0.21
-64.5289,52.1904,116.846,0.28,0.23,0.06,0.01,1.68,0.19
-64.8859,58.2208,115.7015,0.05,0.18,0.69,0.1,1.48,0.22
0.0198,0.0198,0.0381,0.22,0.05,0.01,0.26,1.71,0.16
-71.5908,57.8241,117.4563,0.08,0.54,0.18,0.03,1.58,0.18
0.0198,0.0198,0.0381,0.05,0.1,0.6,0.14,1.55,0.16
0.0198,0.0198,0.0381,0.25,0.05,0.01,0.16,1.72,0.14
-71.5908,50.4448,116.9223,0.05,0.56,0.25,0.04,1.55,0.17
-69.131,53.6187,116.0067,0.05,0.03,0.43,0.28,1.64,0.14
0.0198,0.0198,0.0381,0.39,0.13,0.03,0.06,1.66,0.16
0.0198,0.0198,0.0381,0.05,0.4,0.4,0.04,1.59,0.16
0.0198,0.0198,0.0381,0.06,0.04,0.27,0.45,1.63,0.16
-66.3142,49.4133,117.38,0.31,0.17,0.03,0.06,1.68,0.16
-64.2115,54.6899,116.1593,0.06,0.19,0.53,0.04,1.6,0.16
-64.6082,52.1904,116.846,0.08,0.04,0.18,0.49,1.63,0.17
-64.6082,55.7214,116.4645,0.17,0.25,0.03,0.05,1.71,0.17
-65.9571,56.1181,116.5408,0.1,0.04,0.14,0.41,1.68,0.19
0.0198,0.0198,0.0381,0.05,0.22,0.56,0.09,1.63,0.31
-68.1392,50.4448,117.1511,0.21,0.04,0.06,0.4,1.7,0.3
-66.3142,50.8415,116.5408,0.18,0.39,0.08,0.04,1.68,0.31
-65.6397,52.1904,115.4726,0.05,0.06,0.56,0.21,1.63,0.31
0.0198,0.0198,0.0381,0.26,0.06,0.04,0.35,1.68,0.3
-64.8859,50.8415,116.6171,0.12,0.4,0.19,0.04,1.68,0.28
-64.8859,54.6899,116.3119,0.08,0.06,0.57,0.34,1.55,0.28
-65.6397,53.9757,116.6171,0.26,0.08,0.03,0.22,1.72,0.25
-67.068,57.1496,117.0748,0.1,0.44,0.44,0.04,1.58,0.26
-66.0365,55.404,117.38,0.09,0.04,0.48,0.4,1.59,0.25
-69.1707,56.1181,118.143,0.23,0.18,0.01,0.09,1.72,0.22
-69.5674,57.5463,116.4645,0.08,0.32,0.56,0.05,1.51,0.25
0.0198,0.0198,0.0381,0.09,0.03,0.35,0.35,1.68,0.22
-69.8451,55.0469,117.5326,0.25,0.31,0.01,0.09,1.68,0.21
-72.0272,50.8415,117.2274,0.05,0.1,0.57,0.05,1.55,0.23
-69.5674,53.3013,118.2956,0.12,0.01,0.13,0.39,1.71,0.21
0.0198,0.0198,0.0381,0.23,0.45,0.03,0.06,1.62,0.21
-69.5674,52.9442,116.0067,0.04,0.16,0.6,0.09,1.59,0.21
-64.9653,51.873,116.3882,0.04,0.1,0.6,0.26,1.57,0.21
0.0198,0.0198,0.0381,0.14,0.47,0.28,0.03,1.6,0.18
-64.2908,52.6268,116.7697,0.04,0.08,0.56,0.44,1.53,0.19
-63.8941,53.9757,118.5245,0.31,0.03,0.03,0.18,1.72,0.18
0.0198,0.0198,0.0381,0.14,0.52,0.44,0.03,1.5,0.18
-66.7506,57.9034,116.9223,0.04,0.05,0.54,0.48,1.51,0.21
-67.8218,53.3013,118.2956,0.35,0.16,0.03,0.13,1.68,0.17
0.0198,0.0198,0.0381,0.1,0.53,0.63,0.03,1.36,0.19
-68.4962,56.4752,116.9986,0.04,0.04,0.32,0.54,1.62,0.19
0.0198,0.0198,0.0381,0.39,0.45,0.03,0.1,1.54,0.17
-69.5674,54.0551,114.7097,0.08,0.32,0.75,0.03,1.4,0.19
-69.5674,52.2698,117.38,0.09,0.03,0.12,0.56,1.63,0.18
-68.4962,49.0959,117.4563,0.34,0.54,0.03,0.08,1.5,0.18
0.0198,0.0198,0.0381,0.05,0.1,0.75,0.06,1.48,0.18
-65.7191,50.1671,116.4645,0.31,0.03,0.06,0.53,1.57,0.17
-65.7191,50.1671,117.5326,0.13,0.62,0.03,0.05,1.49,0.17
-66.3935,53.3013,115.4726,0.05,0.06,0.74,0.31,1.41,0.16
-63.8941,51.5953,116.9223,0.52,0.03,0.06,0.39,1.51,0.16
-65.3223,52.6268,117.6852,0.09,0.66,0.21,0.05,1.45,0.14
-63.6164,52.6268,116.6934,0.54,0.03,0.05,0.21,1.57,0.14
-66.0761,56.1578,118.0667,0.1,0.65,0.5,0.05,1.27,0.13
0.0198,0.0198,0.0381,0.53,0.18,0.05,0.09,1.55,0.13
-68.8533,51.5953,118.2956,0.58,0.36,0.05,0.1,1.41,0.14
-68.9326,48.7388,116.9223,0.53,0.58,0.04,0.12,1.23,0.16
-68.2582,55.2453,119.6689,0.04,0.88,0.98,0.06,0.25,0.13
-69.2897,52.0714,120.3555,0.09,0.04,0.47,1.16,0.53,0.12
-67.8614,54.8486,117.8378,0.05,0.63,1.2,0.08,0.38,0.14
-71.7891,53.1426,120.5844,0.13,0.05,0.05,1.2,0.7,0.14
-68.6152,53.4997,119.9741,0.82,0.72,0.08,0.04,0.63,0.16
0.0198,0.0198,0.0381,0.06,0.27,1.41,0.09,0.5,0.16
0.0198,0.0198,0.0381,0.47,0.08,0.03,1.06,0.71,0.17
0.0198,0.0198,0.0381,0.61,0.89,0.09,0.04,0.71,0.18
-64.0528,54.1741,115.9304,0.09,0.03,1.44,0.17,0.53,0.18
-66.5126,50.3258,118.6007,0.7,0.09,0.03,0.89,0.75,0.19
-67.187,55.6023,119.3637,0.16,1.1,0.09,0.06,0.79,0.21
-63.7354,53.4997,116.3882,0.12,0.04,1.27,0.5,0.56,0.22
-67.9408,56.3561,117.9141,0.91,0.12,0.05,0.27,1.09,0.23
-69.012,54.2535,116.9986,0.05,1.02,0.58,0.12,0.74,0.25
-69.7261,56.3561,116.083,0.18,0.05,0.7,0.87,0.85,0.22
-68.6946,53.4997,118.3719,0.93,0.25,0.09,0.03,1.05,0.25
-69.369,53.8567,116.1593,0.06,0.76,0.89,0.16,0.74,0.22
-67.9408,53.8567,116.846,0.18,0.06,0.4,0.94,0.98,0.21
-70.7973,53.8567,116.9223,0.85,0.45,0.12,0.04,1.01,0.22
-66.5919,54.9279,115.7015,0.06,0.54,1.04,0.14,0.87,0.21
-67.2663,50.0084,118.0667,0.21,0.09,0.01,0.97,1.07,0.19
-68.0201,52.1508,117.38,0.65,0.65,0.13,0.04,1.1,0.21
-66.5919,52.1508,117.9141,0.4,0.1,0.01,0.91,1.11,0.19
-65.8778,54.6105,116.9223,0.43,0.72,0.12,0.04,1.18,0.21
-65.1637,55.285,114.7097,0.1,0.03,1.2,0.23,0.93,0.22
-65.1637,54.2535,117.38,0.54,0.1,0.01,0.69,1.22,0.21
-69.7261,57.1099,117.7615,0.06,0.89,0.12,0.06,1.14,0.25
-66.2745,56.3561,115.3964,0.13,0.03,1.06,0.48,0.97,0.23
-69.0517,56.0388,116.5408,0.74,0.12,0.03,0.35,1.37,0.23
-68.7343,56.7132,115.2438,0.04,0.92,0.34,0.08,1.11,0.26
-68.7343,54.6105,115.0149,0.14,0.03,0.83,0.61,1.15,0.22
-66.4332,55.8404,117.9141,0.08,0.09,0.75,0.43,1.29,0.18
-68.9326,56.2371,118.0667,0.05,0.08,0.5,0.57,1.38,0.18
-68.5756,52.3095,118.7533,0.04,0.06,0.32,0.63,1.44,0.17
-66.1555,51.2779,118.5245,0.09,0.06,0.1,0.74,1.37,0.17
-64.0528,51.2779,118.7533,0.52,0.04,0.08,0.6,1.32,0.18
-65.0843,54.4121,119.44,0.12,0.82,0.16,0.08,1.2,0.17
0.0198,0.0198,0.0381,0.08,0.87,0.62,0.04,0.89,0.13
-66.5126,53.0632,120.4318,0.03,0.05,0.49,0.84,1.07,0.13
-66.7506,51.3176,121.5763,0.06,0.18,1.55,0.14,0,0.16
-63.6561,51.7144,121.0422,0.1,0.01,1.32,0.61,0.01,0.09
0.0198,0.0198,0.0381,1.23,0.12,0.04,0.48,0.23,0.08
-66.4332,54.1741,122.797,0.01,1.27,0.38,0.08,0.13,0.08
-64.0528,52.0714,121.5763,0.1,0.03,0.91,0.98,0.08,0.06
-66.4332,52.0714,122.6444,1.29,0.09,0.05,0.25,0.39,0.06
0.0198,0.0198,0.0381,0.09,0.03,0.65,1.15,0.14,0.06
-66.5126,56.6735,119.8978,0.04,0.85,1.02,0.08,0.08,0.08
-66.8299,56.2768,121.8814,0.09,0.04,0.21,1.33,0.3,0.08
-67.187,57.348,119.3637,0.04,0.63,1.26,0.08,0.08,0.09
-69.012,53.817,121.7288,0.14,0.05,0,1.32,0.44,0.09
-65.8381,53.1426,117.9141,0.05,0.26,1.51,0.08,0.19,0.1
-69.369,48.8975,120.2792,0.52,0.05,0.01,1.09,0.57,0.1
-67.2663,52.4285,117.0748,0.06,0.01,1.5,0.17,0.34,0.12
-66.8696,49.6513,119.44,0.76,0.08,0.03,0.88,0.57,0.12
-63.7354,54.2535,116.6171,0.09,0.01,1.29,0.54,0.39,0.12
-66.1952,51.754,119.2874,1.05,0.09,0.04,0.49,0.61,0.12
-63.7354,54.5708,116.3882,0.1,0.03,1.07,0.75,0.41,0.12
-67.6234,55.285,116.9223,0.12,0.04,0.65,1.01,0.58,0.12
-66.8696,54.6105,115.7015,0.05,0.76,1,0.09,0.5,0.13
-70.1228,50.7225,117.38,0.66,0.75,0.09,0.04,0.79,0.13
-66.5919,54.2535,113.7179,0.06,0.19,1.32,0.09,0.7,0.12
-68.0201,52.8649,115.7778,0.44,0.88,0.08,0.04,0.92,0.13
-64.8463,52.5078,114.5571,0.06,0.01,1.24,0.27,0.82,0.13
-66.2745,55.285,115.6252,0.05,0.96,0.1,0.05,1,0.14
-64.8463,56.0388,114.4045,0.09,0.03,1.07,0.54,0.8,0.14
-66.6316,52.5078,115.7015,0.76,0.09,0.03,0.5,1.13,0.14
0.0198,0.0198,0.0381,0.04,0.97,0.34,0.06,0.96,0.16
-65.8778,56.7132,113.7942,0.1,0.03,0.88,0.67,0.89,0.16
-70.1625,55.3643,115.2438,0.83,0.09,0.04,0.04,1.24,0.17
-69.4087,55.6817,113.6416,0.05,0.83,0.67,0.08,0.91,0.18
-68.7343,54.6105,114.023,0.12,0.03,0.45,0.79,1.14,0.17
-70.4799,54.2931,115.7015,0.76,0.36,0.05,0.04,1.24,0.19
-68.3772,52.5078,112.726,0.05,0.65,0.79,0.09,1,0.18
-69.4881,50.7622,114.786,0.13,0.04,0.23,0.8,1.24,0.18
0.0198,0.0198,0.0381,0.69,0.52,0.08,0.04,1.2,0.18
0.0198,0.0198,0.0381,0.06,0.35,0.97,0.12,1.09,0.17
-66.2745,49.3339,114.9386,0.25,0.06,0.03,0.78,1.24,0.17
-67.7028,51.8334,113.7179,0.36,0.66,0.1,0.05,1.26,0.17
-65.9571,52.8649,114.0993,0.35,0.08,0.03,0.63,1.32,0.14
-66.3142,55.7214,115.8541,0.08,0.69,0.09,0.05,1.31,0.14
-64.8859,55.7214,113.2601,0.09,0.03,0.93,0.34,1.15,0.12
-66.6316,55.0469,114.9386,0.45,0.08,0.03,0.39,1.48,0.12
-67.7424,54.2931,114.6334,0.04,0.72,0.3,0.06,1.24,0.12
0.0198,0.0198,0.0381,0.09,0.03,0.82,0.38,1.23,0.1
0.0198,0.0198,0.0381,0.54,0.08,0.04,0.17,1.5,0.1
-71.2734,55.0469,114.4808,0.04,0.71,0.44,0.06,1.2,0.1
-68.4169,52.5872,113.7942,0.08,0.03,0.47,0.54,1.38,0.1
-70.2419,51.516,114.2519,0.6,0.21,0.04,0.03,1.46,0.1
-66.7109,50.8415,115.0149,0.08,0.03,0.17,0.62,1.48,0.1
-67.068,52.9442,114.4045,0.49,0.3,0.04,0.03,1.5,0.1
-71.2734,52.5872,114.023,0.54,0.48,0.05,0.05,1.28,0.16
-70.9163,54.6899,112.4208,0.05,0.4,0.91,0.08,1.13,0.17
0.0198,0.0198,0.0381,0.36,0.65,0.06,0.05,1.27,0.17
-63.537,51.516,111.8105,0.06,0.04,0.88,0.18,1.26,0.18
0.0198,0.0198,0.0381,0.08,0.67,0.12,0.05,1.38,0.18
-63.8941,54.3725,111.6579,0.08,0.05,0.83,0.32,1.27,0.18
